Slit_separation_fs,Delay_fs,Reflectivity,Series
-1500.0,230751.796061637,19.1056597450873,model
-1500.0,230871.086166224,11.4881989544908,model
-1500.0,230990.376270812,6.30761633864773,model
-1500.0,231109.6663754,3.20176481758381,model
-1500.0,231228.956479987,1.52095521379423,model
-1500.0,231348.24658457498,0.675652799388661,model
-1500.0,231467.53668916202,0.273939187016402,model
-1500.0,231586.82679375002,0.0976674388837475,model
-1500.0,231706.116898338,0.0306539359087061,model
-1500.0,231825.407002925,0.00997571161485907,model
-1500.0,231944.697107513,0.00513689679196587,model
-1500.0,232063.9872121,0.00551796286409441,model
-1500.0,232183.277316688,0.00812179770405061,model
-1500.0,232302.567421275,0.0102713883444626,model
-1500.0,232421.85752586302,0.00972464496470312,model
-1500.0,232541.147630451,0.00710538252919181,model
-1500.0,232660.437735038,0.0051851291769836,model
-1500.0,232779.72783962602,0.00556371287142205,model
-1500.0,232899.017944214,0.00700415483872712,model
-1500.0,233018.30804880097,0.00724223500851055,model
-1500.0,233137.59815338903,0.0057282461501582,model
-1500.0,233256.888257976,0.00402382748278937,model
-1500.0,233376.17836256398,0.00373780799622809,model
-1500.0,233495.468467151,0.00468756356387635,model
-1500.0,233614.75857173902,0.00533343418416267,model
-1500.0,233734.048676327,0.00468646234026629,model
-1500.0,233853.338780914,0.00335428913661282,model
-1500.0,233972.62888550202,0.00266634186779472,model
-1500.0,234091.91899008903,0.00309620376883193,model
-1500.0,234211.209094677,0.00382763701405601,model
-1500.0,234330.49919926497,0.00380924987244163,model
-1500.0,234449.78930385198,0.00295355266809019,model
-1500.0,234569.07940844,0.00213089243310454,model
-1500.0,234688.36951302702,0.00209868253811386,model
-1500.0,234807.659617615,0.00266827067763209,model
-1500.0,234926.94972220302,0.00300780069819042,model
-1500.0,235046.23982679003,0.00262975869371638,model
-1500.0,235165.529931378,0.0018994557796092,model
-1500.0,235284.82003596498,0.00154910313779157,model
-1500.0,235404.11014055304,0.00182977030464738,model
-1500.0,235523.400245141,0.00227487396878778,model
-1500.0,235642.690349728,0.00228086069058099,model
-1500.0,235761.980454316,0.00178883758207929,model
-1500.0,235881.27055890302,0.001303933759699,model
-1500.0,236000.560663491,0.00128715009671619,model
-1500.0,236119.850768079,0.00164681225508727,model
-1500.0,236239.14087266597,0.00188383647802309,model
-1500.0,236358.430977254,0.00167762539242359,model
-1500.0,236477.721081841,0.00122813508232597,model
-1500.0,236597.01118642898,0.000994257777106158,model
-1500.0,236716.301291017,0.00116484794610997,model
-1500.0,236835.59139560402,0.00146825922719438,model
-1500.0,236954.881500192,0.00150709101158319,model
-1500.0,237074.171604779,0.00120821120803621,model
-1500.0,237193.46170936702,0.000881446729617492,model
-1500.0,237312.751813955,0.000848964324995515,model
-1500.0,237432.041918542,0.00108627870422667,model
-1500.0,237551.33202313003,0.0012723887630344,model
-1500.0,237670.622127717,0.00116569108150015,model
-1500.0,237789.912232305,0.000867467297638425,model
-1500.0,237909.20233689298,0.000687307559358103,model
-1500.0,238028.49244148002,0.00078586396399491,model
-1500.0,238147.78254606802,0.0010052469787347,model
-1500.0,238267.072650655,0.00106392100649001,model
-1500.0,238386.362755243,0.000877238010810856,model
-1500.0,238505.65285983103,0.000639798141358986,model
-1500.0,238624.942964418,0.000592652563846508,model
-1500.0,238744.233069006,0.000752245180702889,model
-1500.0,238863.52317359298,0.000904933385195653,model
-1500.0,238982.813278181,0.00085760080403287,model
-1500.0,239102.103382769,0.000651460783065475,model
-1500.0,239221.393487356,0.00050327319996474,model
-1500.0,239340.68359194402,0.00055439680832748,model
-1500.0,239459.97369653103,0.000717433785635402,model
-1500.0,239579.263801119,0.000785571539230276,model
-1500.0,239698.55390570697,0.000669232202497553,model
